state,statefips,countyfips,county,latino_cvap_2020,latino_voted_2020,latino_turnout_2020_cvap,avg24_residual
NC,37,189,Watauga County,975,692,.70974362,.38915765
KY,21,79,Garrard County,75,55,.73333335,.39013845
TX,48,315,Marion County,175,136,.77714288,.44580856
TX,48,95,Concho County,415,301,.72530121,.44484451
MS,28,11,Bolivar County,240,177,.73750001,.55342191
VA,51,65,Fluvanna County,565,189,.33451328,
TN,47,111,Macon County,310,45,.14516129,
MN,27,115,Pine County,590,223,.37796611,
GA,13,231,Pike County,165,53,.32121211,
OK,40,3,Alfalfa County,200,33,.16500001,
IL,17,145,Perry County,455,148,.32527474,
GA,13,23,Bleckley County,250,26,.104,
TX,48,425,Somervell County,985,376,.38172588,
OH,39,127,Perry County,220,106,.48181817,
ME,23,23,Sagadahoc County,375,250,.66666669,
ID,16,7,Bear Lake County,160,88,.55000001,
TN,47,107,McMinn County,715,127,.17762238,
AR,5,27,Columbia County,245,40,.1632653,
VA,51,113,Madison County,200,52,.25999999,
IN,18,13,Brown County,130,72,.55384618,
IN,18,139,Rush County,120,94,.78333336,
WA,53,13,Columbia County,140,53,.37857142,
MT,30,95,Stillwater County,270,118,.43703705,
AR,5,37,Cross County,90,61,.67777777,
MO,29,229,Wright County,200,59,.29499999,
MN,27,141,Sherburne County,1200,780,.64999998,
TN,47,35,Cumberland County,785,79,.10063694,
OH,39,79,Jackson County,185,79,.42702702,
VA,51,71,Giles County,145,71,.48965517,
KY,21,205,Rowan County,190,27,.14210527,
OK,40,151,Woods County,415,108,.26024097,
AR,5,59,Hot Spring County,345,130,.37681159,
IA,19,87,Henry County,535,254,.47476634,
VA,51,105,Lee County,235,97,.41276595,
MS,28,71,Lafayette County,725,71,.097931035,
IL,17,9,Brown County,295,48,.16271186,
OH,39,91,Logan County,495,157,.31717172,
TX,48,47,Brooks County,4425,2093,.47299436,
VA,51,37,Charlotte County,45,31,.68888891,
VA,51,7,Amelia County,100,51,.50999999,
LA,22,3,Allen Parish,455,44,.096703298,
IL,17,73,Henry County,1565,512,.32715654,
WA,53,43,Lincoln County,230,143,.62173915,
TX,48,77,Clay County,295,138,.46779662,
VA,51,33,Caroline County,715,415,.5804196,
AR,5,123,St. Francis County,535,80,.14953271,
IL,17,51,Fayette County,235,55,.23404256,
WV,54,77,Preston County,245,83,.33877552,
VA,51,131,Northampton County,410,175,.42682928,
